Instance,Budget,Rate,Optimistic, Pes Leader Opt Follower, Pessimistic, Opt Leader Pes Follower
1,64,0.1,11.0,13.0,53.0,71.0
1,64,0.4,27.0,29.0,53.0,53.0
1,64,0.7,45.0,46.0,53.0,53.0
1,64,1,53.0,53.0,53.0,53.0
1,72,0.1,10.0,12.0,46.0,68.0
1,72,0.4,24.0,26.0,46.0,48.0
1,72,0.7,40.0,40.0,46.0,47.0
1,72,1,46.0,46.0,46.0,46.0
1,80,0.1,9.0,11.0,40.0,58.0
1,80,0.4,21.0,23.0,40.0,41.0
1,80,0.7,35.0,35.0,40.0,41.0
1,80,1,40.0,40.0,40.0,40.0
1,88,0.1,8.0,10.0,34.0,53.0
1,88,0.4,18.0,20.0,34.0,35.0
1,88,0.7,30.0,30.0,34.0,35.0
1,88,1,34.0,34.0,34.0,34.0
1,96,0.1,7.0,9.0,28.0,49.0
1,96,0.4,15.0,17.0,28.0,29.0
1,96,0.7,25.0,25.0,28.0,29.0
1,96,1,28.0,28.0,28.0,28.0
