Instance,Budget,Rate,Optimistic, Pes Leader Opt Follower, Pessimistic, Opt Leader Pes Follower
1,64,0.1,12.0,12.0,53.0,71.0
1,64,0.4,27.0,27.0,53.0,53.0
1,64,0.7,45.0,45.0,53.0,53.0
1,64,1,53.0,53.0,53.0,53.0
1,72,0.1,11.0,11.0,47.0,65.0
1,72,0.4,24.0,24.0,47.0,47.0
1,72,0.7,40.0,40.0,47.0,47.0
1,72,1,47.0,47.0,47.0,47.0
1,80,0.1,10.0,10.0,41.0,59.0
1,80,0.4,21.0,21.0,41.0,41.0
1,80,0.7,35.0,35.0,41.0,41.0
1,80,1,41.0,41.0,41.0,41.0
1,88,0.1,9.0,9.0,35.0,49.0
1,88,0.4,18.0,18.0,35.0,35.0
1,88,0.7,30.0,30.0,35.0,35.0
1,88,1,35.0,35.0,35.0,35.0
1,96,0.1,8.0,8.0,29.0,39.0
1,96,0.4,15.0,15.0,29.0,29.0
1,96,0.7,25.0,25.0,29.0,29.0
1,96,1,29.0,29.0,29.0,29.0
